dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
Crop_normal_21,1000,20,20,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Crop_normal_22,1000,19,13,6,7,0.6842105263157895,0.65,0.6666666666666666,2,2,0,0,0,0,0.7317073170731707
Crop_normal_23,1000,12,12,0,8,1.0,0.6,0.75,0,0,0,0,0,0,0.75
Crop_normal_24,1000,20,20,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Crop_normal_3,1000,5,5,0,15,1.0,0.25,0.4,0,0,0,0,0,0,0.4
Crop_normal_4,1000,0,0,0,20,0.0,0.0,0.0,4,0,4,0,0,0,0.0
Crop_normal_5,1000,2,2,0,18,1.0,0.1,0.18181818181818182,2,1,1,0,0,0,0.25
Crop_normal_6,1000,3,2,1,18,0.6666666666666666,0.1,0.17391304347826086,2,1,1,0,0,0,0.24
Crop_normal_7,1000,15,15,0,5,1.0,0.75,0.8571428571428571,0,0,0,0,0,0,0.8571428571428571
Crop_normal_8,1000,9,9,0,11,1.0,0.45,0.6206896551724138,0,0,0,0,0,0,0.6206896551724138
Crop_normal_9,1000,4,3,1,17,0.75,0.15,0.25,2,1,1,0,0,0,0.3076923076923077
DiatomSizeReduction_normal_1,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
DiatomSizeReduction_normal_2,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DiatomSizeReduction_normal_3,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
DiatomSizeReduction_normal_4,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DistalPhalanxOutlineAgeGroup_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DistalPhalanxOutlineAgeGroup_normal_2,150,0,0,0,3,0.0,0.0,0.0,2,1,1,0,0,0,0.4
DistalPhalanxOutlineAgeGroup_normal_3,300,2,2,0,4,1.0,0.3333333333333333,0.5,3,2,1,0,0,0,0.7272727272727273
DistalPhalanxOutlineCorrect_normal_0,300,1,0,1,6,0.0,0.0,0.0,1,0,1,0,0,0,0.0
DistalPhalanxOutlineCorrect_normal_1,550,4,4,0,7,1.0,0.36363636363636365,0.5333333333333333,4,1,3,0,0,0,0.5263157894736842
DistalPhalanxTW_normal_3,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DistalPhalanxTW_normal_4,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DistalPhalanxTW_normal_5,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DistalPhalanxTW_normal_6,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
DistalPhalanxTW_normal_7,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
DistalPhalanxTW_normal_8,250,5,5,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DodgerLoopDay_normal_1,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
